job_title,job_category,required_skills,job_id,shop_type,salary_per_day,salary_type,number_of_openings,max_distance_km,retailer_verified,job_status,is_blocked,shift_type,working_days,seasonal_job,season_name,combined_text,shop_name,address_line,area,city,state,pincode,latitude,longitude
account executive/ assistant,accounting,"basic accounting, data entry, excel basics, record maintenance",c2cf7ea2-4725-4962-bc65-e0ff4a4f4ab2,supermarket,350,daily,12,10,True,approved,False,evening+holiday,weekends,True,christmas,"account executive/ assistant basic accounting, data entry, excel basics, record maintenance accounting supermarket evening+holiday weekends",,,,,,,,
account executive/ assistant,accounting,"basic accounting, data entry, excel basics, record maintenance",b178cbb7-bff0-440a-b1c7-22f2eaf74a3a,supermarket,350,daily,2,10,True,approved,False,evening,weekdays,False,none,"account executive/ assistant basic accounting, data entry, excel basics, record maintenance accounting supermarket evening weekdays",,,,,,,,
account executive/ assistant,accounting,"basic accounting, data entry, excel basics, record maintenance",d2b20ede-e770-4865-84c3-0e9b1fac2daf,supermarket,350,daily,1,10,True,approved,False,evening+holiday,weekdays+holidays,False,none,"account executive/ assistant basic accounting, data entry, excel basics, record maintenance accounting supermarket evening+holiday weekdays+holidays",,,,,,,,
accounts executive,accounting,"excel basics, data entry, basic accounting, record maintenance",55b3ac32-3db4-4714-85eb-3acc1bd5af1f,petrol pump,350,daily,2,10,True,approved,False,holiday,weekends,True,summer,"accounts executive excel basics, data entry, basic accounting, record maintenance accounting petrol pump holiday weekends",,,,,,,,
accounts executive,accounting,"excel basics, data entry, basic accounting, record maintenance",d012d08f-ecb4-4b79-9690-94c23a74f695,retail shop,450,daily,10,3,True,approved,False,evening+holiday,weekends,False,none,"accounts executive excel basics, data entry, basic accounting, record maintenance accounting retail shop evening+holiday weekends",,,,,,,,
accounts executive,accounting,"excel basics, data entry, basic accounting, record maintenance",3b2307ac-1662-4e5d-b76e-fb0d8f7a29d2,bakery,350,daily,5,3,True,approved,False,holiday,weekends,False,none,"accounts executive excel basics, data entry, basic accounting, record maintenance accounting bakery holiday weekends",,,,,,,,
accounts executive,accounting,"data entry, basic accounting, record maintenance, excel basics",bb115287-7cca-4499-856e-2de0b3a080ad,parts supplier,300,daily,10,8,True,approved,False,evening+holiday,weekdays+holidays,True,festival,"accounts executive data entry, basic accounting, record maintenance, excel basics accounting parts supplier evening+holiday weekdays+holidays",,,,,,,,
accounts executive,accounting,"data entry, basic accounting, record maintenance, excel basics",903db6a2-0511-4702-aff0-41f7f4984d70,supermarket,450,daily,1,5,True,approved,False,holiday,weekdays+holidays,True,christmas,"accounts executive data entry, basic accounting, record maintenance, excel basics accounting supermarket holiday weekdays+holidays",,,,,,,,
accounts executive,accounting,"data entry, basic accounting, record maintenance, excel basics",64b9aa6e-5546-4143-a8df-b72e83ccbd8e,supermarket,300,daily,2,10,True,approved,False,holiday,weekdays+holidays,True,onam,"accounts executive data entry, basic accounting, record maintenance, excel basics accounting supermarket holiday weekdays+holidays",,,,,,,,
accounts executive,accounting,"data entry, basic accounting, record maintenance, excel basics",4a51f318-5cd3-44c7-b888-6ba4dc937aec,parts supplier,300,daily,5,8,True,approved,False,evening,weekdays,False,none,"accounts executive data entry, basic accounting, record maintenance, excel basics accounting parts supplier evening weekdays",,,,,,,,
accounts assistant (ap),accounting,"record maintenance, excel basics, basic accounting, data entry",8a367efd-efc8-4f21-96e0-0a7966a63013,bakery,450,daily,2,10,True,approved,False,evening,weekdays,True,christmas,"accounts assistant (ap) record maintenance, excel basics, basic accounting, data entry accounting bakery evening weekdays",,,,,,,,
accounts assistant (ap),accounting,"record maintenance, excel basics, basic accounting, data entry",2519beca-db20-45da-ba25-4bdcb3c0e18c,supermarket,400,daily,7,3,True,approved,False,evening,weekdays,True,onam,"accounts assistant (ap) record maintenance, excel basics, basic accounting, data entry accounting supermarket evening weekdays",,,,,,,,
admin assistant,retail assistant,"multitasking, shelf arrangement, inventory support, store assistance",f179ff7e-ab80-485f-a3f9-fb1a0d94e82f,petrol pump,350,daily,12,10,True,approved,False,evening+holiday,weekdays+holidays,False,none,"admin assistant multitasking, shelf arrangement, inventory support, store assistance retail assistant petrol pump evening+holiday weekdays+holidays",,,,,,,,
admin assistant,retail assistant,"multitasking, shelf arrangement, inventory support, store assistance",e2d299b1-c8d5-4893-912a-9e83d50df440,retail shop,450,daily,3,3,True,approved,False,evening,weekdays,False,none,"admin assistant multitasking, shelf arrangement, inventory support, store assistance retail assistant retail shop evening weekdays",,,,,,,,
clerical assistant (educational centre),retail assistant,"multitasking, inventory support, shelf arrangement, store assistance",b3d043aa-0185-47e4-9fa3-a4fd76604580,clothing store,350,daily,1,2,True,approved,False,holiday,weekdays+holidays,False,none,"clerical assistant (educational centre) multitasking, inventory support, shelf arrangement, store assistance retail assistant clothing store holiday weekdays+holidays",,,,,,,,
clerical assistant (educational centre),retail assistant,"multitasking, inventory support, shelf arrangement, store assistance",e63f8af9-6e58-40f7-bf42-03ca7b540ea8,supermarket,450,daily,10,2,True,approved,False,evening,weekdays,True,festival,"clerical assistant (educational centre) multitasking, inventory support, shelf arrangement, store assistance retail assistant supermarket evening weekdays",,,,,,,,
purchasing assistant,retail assistant,"store assistance, inventory support, multitasking, shelf arrangement",224d4aa5-3aa8-42e2-abb7-9eb309423470,bakery,350,daily,3,3,True,approved,False,holiday,weekends,False,none,"purchasing assistant store assistance, inventory support, multitasking, shelf arrangement retail assistant bakery holiday weekends",,,,,,,,
purchasing assistant,retail assistant,"store assistance, inventory support, multitasking, shelf arrangement",342e3be3-981c-4642-b862-31b4382e097a,petrol pump,300,daily,12,3,True,approved,False,holiday,weekdays+holidays,True,christmas,"purchasing assistant store assistance, inventory support, multitasking, shelf arrangement retail assistant petrol pump holiday weekdays+holidays",,,,,,,,
accounts executive,accounting,"basic accounting, excel basics, record maintenance, data entry",9d7f3062-c944-404d-b955-22e1de631050,clothing store,450,daily,5,8,True,approved,False,holiday,weekends,False,none,"accounts executive basic accounting, excel basics, record maintenance, data entry accounting clothing store holiday weekends",,,,,,,,
accounts executive,accounting,"basic accounting, excel basics, record maintenance, data entry",d7b28825-5da3-469d-b1d3-6b0a9c9ecffe,supermarket,350,daily,1,8,True,approved,False,evening,weekdays,True,summer,"accounts executive basic accounting, excel basics, record maintenance, data entry accounting supermarket evening weekdays",,,,,,,,
audit assistant,retail assistant,"multitasking, shelf arrangement, inventory support, store assistance",5fdd5de6-a74f-4410-9ef7-064c0a7f9f7a,petrol pump,450,daily,7,3,True,approved,False,evening+holiday,weekends,True,summer,"audit assistant multitasking, shelf arrangement, inventory support, store assistance retail assistant petrol pump evening+holiday weekends",,,,,,,,
audit assistant,retail assistant,"multitasking, shelf arrangement, inventory support, store assistance",98920ae2-a785-4f96-9594-1eaa22dd9901,bakery,300,daily,7,3,True,approved,False,holiday,weekends,True,onam,"audit assistant multitasking, shelf arrangement, inventory support, store assistance retail assistant bakery holiday weekends",,,,,,,,
audit assistant,retail assistant,"multitasking, shelf arrangement, inventory support, store assistance",b945f9bc-8d6c-4e23-b092-82a1c6d0f058,parts supplier,350,daily,1,5,True,approved,False,evening+holiday,weekends,True,festival,"audit assistant multitasking, shelf arrangement, inventory support, store assistance retail assistant parts supplier evening+holiday weekends",,,,,,,,
audit assistant,retail assistant,"multitasking, shelf arrangement, inventory support, store assistance",e4a248bd-fee7-4a19-9705-5e1bba4c5b38,clothing store,400,daily,10,3,True,approved,False,evening+holiday,weekends,False,none,"audit assistant multitasking, shelf arrangement, inventory support, store assistance retail assistant clothing store evening+holiday weekends",,,,,,,,
key account executive (chemistry/oil & gas),accounting,"basic accounting, excel basics, record maintenance, data entry",6ad60c4d-fe99-4f13-bd53-ef33f595c219,retail shop,350,daily,10,2,True,approved,False,evening+holiday,weekdays+holidays,True,festival,"key account executive (chemistry/oil & gas) basic accounting, excel basics, record maintenance, data entry accounting retail shop evening+holiday weekdays+holidays",,,,,,,,
key account executive (chemistry/oil & gas),accounting,"basic accounting, excel basics, record maintenance, data entry",764122c2-35ea-410d-ab02-b93dfce5217b,clothing store,400,daily,10,3,True,approved,False,evening+holiday,weekdays+holidays,True,festival,"key account executive (chemistry/oil & gas) basic accounting, excel basics, record maintenance, data entry accounting clothing store evening+holiday weekdays+holidays",,,,,,,,
key account executive (chemistry/oil & gas),accounting,"basic accounting, excel basics, record maintenance, data entry",d9f134e8-b4fa-49f0-8ee1-82fce8f2ceec,petrol pump,450,daily,12,3,True,approved,False,evening,weekdays,False,none,"key account executive (chemistry/oil & gas) basic accounting, excel basics, record maintenance, data entry accounting petrol pump evening weekdays",,,,,,,,
assistant human capital manager/ senior human capital executive,retail assistant,"multitasking, inventory support, store assistance, shelf arrangement",45e09eed-2612-449c-bbce-f4916751a56d,petrol pump,300,daily,5,5,True,approved,False,holiday,weekends,True,exam_break,"assistant human capital manager/ senior human capital executive multitasking, inventory support, store assistance, shelf arrangement retail assistant petrol pump holiday weekends",,,,,,,,
assistant human capital manager/ senior human capital executive,retail assistant,"multitasking, inventory support, store assistance, shelf arrangement",d3d6a2f7-1364-4871-9f2e-65ce95de0adb,supermarket,450,daily,5,5,True,approved,False,evening,weekdays,False,none,"assistant human capital manager/ senior human capital executive multitasking, inventory support, store assistance, shelf arrangement retail assistant supermarket evening weekdays",,,,,,,,
assistant human capital manager/ senior human capital executive,retail assistant,"multitasking, inventory support, store assistance, shelf arrangement",a42b8483-d3b6-47ce-a126-f29ca3cfd3ca,supermarket,450,daily,7,8,True,approved,False,holiday,weekdays+holidays,True,onam,"assistant human capital manager/ senior human capital executive multitasking, inventory support, store assistance, shelf arrangement retail assistant supermarket holiday weekdays+holidays",,,,,,,,
invoicing assistant,retail assistant,"shelf arrangement, inventory support, store assistance",eabbd752-7931-4979-919a-1041f465938e,petrol pump,350,daily,10,10,True,approved,False,holiday,weekends,False,none,"invoicing assistant shelf arrangement, inventory support, store assistance retail assistant petrol pump holiday weekends",,,,,,,,
invoicing assistant,retail assistant,"shelf arrangement, inventory support, store assistance",41ff6426-9535-47f4-9877-711396f63588,parts supplier,350,daily,2,5,True,approved,False,evening+holiday,weekends,False,none,"invoicing assistant shelf arrangement, inventory support, store assistance retail assistant parts supplier evening+holiday weekends",,,,,,,,
account cum admin executive,accounting,"record maintenance, basic accounting, data entry, excel basics",4e8a7723-6879-4948-b177-55d7bed36bd9,retail shop,350,daily,3,5,True,approved,False,evening,weekdays,True,festival,"account cum admin executive record maintenance, basic accounting, data entry, excel basics accounting retail shop evening weekdays",,,,,,,,
account cum admin executive,accounting,"record maintenance, basic accounting, data entry, excel basics",31726003-569c-4630-9a5a-8b04c64114ed,retail shop,350,daily,2,3,True,approved,False,evening,weekdays,True,summer,"account cum admin executive record maintenance, basic accounting, data entry, excel basics accounting retail shop evening weekdays",,,,,,,,
account cum admin executive,accounting,"record maintenance, basic accounting, data entry, excel basics",f66944db-0a0a-40ba-8f23-ddb76079941d,clothing store,400,daily,10,8,True,approved,False,evening,weekdays,True,festival,"account cum admin executive record maintenance, basic accounting, data entry, excel basics accounting clothing store evening weekdays",,,,,,,,
admin assistant,retail assistant,"store assistance, shelf arrangement, multitasking, inventory support",07e6e322-4352-4eea-a528-8c0ab97d3d26,parts supplier,400,daily,10,2,True,approved,False,evening+holiday,weekends,False,none,"admin assistant store assistance, shelf arrangement, multitasking, inventory support retail assistant parts supplier evening+holiday weekends",,,,,,,,
admin assistant,retail assistant,"store assistance, shelf arrangement, multitasking, inventory support",b29a2cd3-df59-4080-af9d-3792b4eb3892,clothing store,400,daily,1,10,True,approved,False,evening+holiday,weekdays+holidays,False,none,"admin assistant store assistance, shelf arrangement, multitasking, inventory support retail assistant clothing store evening+holiday weekdays+holidays",,,,,,,,
finance specialist/senior account executive,accounting,"basic accounting, data entry, excel basics, record maintenance",9cfc0126-1b0a-4ca0-a982-a67c8c4d81eb,clothing store,300,daily,12,10,True,approved,False,holiday,weekends,False,none,"finance specialist/senior account executive basic accounting, data entry, excel basics, record maintenance accounting clothing store holiday weekends",,,,,,,,
finance specialist/senior account executive,accounting,"basic accounting, data entry, excel basics, record maintenance",e0a0e24f-4230-44c3-9500-c57edceb1814,supermarket,350,daily,7,2,True,approved,False,evening,weekdays,True,exam_break,"finance specialist/senior account executive basic accounting, data entry, excel basics, record maintenance accounting supermarket evening weekdays",,,,,,,,
finance specialist/senior account executive,accounting,"basic accounting, data entry, excel basics, record maintenance",a6dc5c81-4d99-4993-bca5-e73f5b8a3e42,bakery,450,daily,1,2,True,approved,False,evening+holiday,weekdays+holidays,False,none,"finance specialist/senior account executive basic accounting, data entry, excel basics, record maintenance accounting bakery evening+holiday weekdays+holidays",,,,,,,,
admin. & accounts clerk,accounting,"excel basics, record maintenance, basic accounting, data entry",19e50073-3a79-47f2-914b-207fc395fed8,supermarket,450,daily,2,2,True,approved,False,evening,weekdays,True,summer,"admin. & accounts clerk excel basics, record maintenance, basic accounting, data entry accounting supermarket evening weekdays",,,,,,,,
admin. & accounts clerk,accounting,"excel basics, record maintenance, basic accounting, data entry",9b4cee35-22df-4749-a8f6-a703c66417f1,retail shop,350,daily,1,10,True,approved,False,evening+holiday,weekends,False,none,"admin. & accounts clerk excel basics, record maintenance, basic accounting, data entry accounting retail shop evening+holiday weekends",,,,,,,,
admin. & accounts clerk,accounting,"excel basics, record maintenance, basic accounting, data entry",12fe8494-7411-4ea2-96a4-8a14668bd32a,supermarket,450,daily,2,2,True,approved,False,holiday,weekdays+holidays,True,festival,"admin. & accounts clerk excel basics, record maintenance, basic accounting, data entry accounting supermarket holiday weekdays+holidays",,,,,,,,
personal assistant for project manager,retail assistant,"multitasking, shelf arrangement, store assistance",af5c0787-6e64-4304-b7ce-b76a7af03daf,petrol pump,350,daily,2,5,True,approved,False,holiday,weekdays+holidays,True,festival,"personal assistant for project manager multitasking, shelf arrangement, store assistance retail assistant petrol pump holiday weekdays+holidays",,,,,,,,
